category,total_profit_erosion,returned_items,mean_profit_erosion_per_return,return_rate,avg_profit_erosion
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,2220206.637,37510,59.18972639296188,1.0,59.18972639296188
EDUCATION ESSENTIALS-SUPPLIES-PAPER,1010564.107,13747,73.51161031497782,1.0,73.51161031497782
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,981373.66,3310,296.48751057401813,1.0,296.48751057401813
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,852752.971,13677,62.34941661183008,1.0,62.34941661183008
EDUCATION ESSENTIALS-SUPPLIES-WRITING,634136.362,10706,59.231866430039226,1.0,59.231866430039226
LEARNING ENVIRONMENTS-FURNITURE-EARLY LEARNING ENVIRONMENTS,615256.542,2621,234.74114536436474,1.0,234.74114536436474
CURRICULUM-SS SCIENCE-FOSS/DELTA,532177.139,4872,109.23176087848933,1.0,109.23176087848933
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,484669.613,4374,110.8069531321445,1.0,110.8069531321445
LEARNING ENVIRONMENTS-FURNITURE-OFFICE FURNITURE,484600.773,1558,311.04029075738123,1.0,311.04029075738123
LEARNING ENVIRONMENTS-FURNITURE-STORAGE,459569.388,845,543.869098224852,1.0,543.869098224852
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,390692.471,6030,64.79145456053068,1.0,64.79145456053068
LEARNING ENVIRONMENTS-FURNITURE-MULTI-SENSORY ENVIRONMENTS,390602.884,1006,388.2732445328032,1.0,388.2732445328032
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,390514.614,6299,61.99628734719797,1.0,61.99628734719797
LEARNING ENVIRONMENTS-FURNITURE-PRESENTATION,378738.64,1578,240.01181242078582,1.0,240.01181242078582
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,313019.401,3087,101.39922287010043,1.0,101.39922287010043
EDUCATION ESSENTIALS-SUPPLIES-SCIENCE EDUCATION,307935.09,2835,108.61907936507937,1.0,108.61907936507937
LEARNING ENVIRONMENTS-FURNITURE-FACILITIES AND GROUNDS,277449.159,586,473.46272866894196,1.0,473.46272866894196
LEARNING ENVIRONMENTS-FURNITURE-CAFETERIA,267799.892,166,1613.252361445783,1.0,1613.252361445783
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,265271.761,4690,56.561143070362476,1.0,56.561143070362476
EDUCATION ESSENTIALS-SUPPLIES-JANITORIAL/BREAKROOM SUPPLIES,220182.325,2691,81.82174842066146,1.0,81.82174842066146
EDUCATION ESSENTIALS-SUPPLIES-ELECTRONIC ACCESSORIES,213121.38,1262,168.87589540412046,1.0,168.87589540412046
LEARNING ENVIRONMENTS-AV TECH-A/V TECHNOLOGY,210998.762,1173,179.8795924978687,1.0,179.8795924978687
LEARNING ENVIRONMENTS-FURNITURE-MEDIA CENTER,210396.224,280,751.4150857142856,1.0,751.4150857142856
EDUCATION ESSENTIALS-SUPPLIES-BUSINESS MACHINES,182085.461,1358,134.08355007363772,1.0,134.08355007363772
EDUCATION ESSENTIALS-SUPPLIES-EARLY LEARNING,143309.887,2159,66.37790041685965,1.0,66.37790041685965
LEARNING ENVIRONMENTS-AV TECH-MULTI-SENSORY,82798.113,131,632.0466641221374,1.0,632.0466641221374
LEARNING ENVIRONMENTS-FURNITURE-SAFETY-FURNITURE,72106.948,312,231.11201282051283,1.0,231.11201282051283
LEARNING ENVIRONMENTS-FURNITURE-ART EQUIPMENT,63101.314,212,297.64770754716983,1.0,297.64770754716983
EDUCATION ESSENTIALS-CHARGES-CHARGES,56194.25,3653,15.383041335888311,1.0,15.383041335888311
LEARNING ENVIRONMENTS-FURNITURE-SCIENCE FURNITURE,38447.745,53,725.4291509433963,1.0,725.4291509433963
CURRICULUM-SS SCIENCE-SCIENCE CATEGORY,34478.351,422,81.70225355450238,1.0,81.70225355450238
EDUCATION ESSENTIALS-SUPPLIES-CHARGES,23202.49,95,244.23673684210527,1.0,244.23673684210527
LEARNING ENVIRONMENTS-AV TECH-BUSINESS EQUIPMENT_AV,12817.72,55,233.04945454545452,1.0,233.04945454545452
EDUCATION ESSENTIALS-SUPPLIES-SAFETY-SUPPLIES,12384.206,171,72.42225730994151,1.0,72.42225730994151
EDUCATION ESSENTIALS-SUPPLIES-CAREER TECHNICAL EDUCATION,7871.137,109,72.21226605504587,1.0,72.21226605504587
LEARNING ENVIRONMENTS-FURNITURE-INSTALL,4669.09,7,667.0128571428571,1.0,667.0128571428571
LEARNING ENVIRONMENTS-FURNITURE-DEFAULT,4606.88,86,53.56837209302326,1.0,53.56837209302326
EDUCATION ESSENTIALS-SUPPLIES-PARTS,3201.747,13,246.28823076923075,1.0,246.28823076923075
EDUCATION ESSENTIALS-SUPPLIES-DAILY LIVING AIDS,1331.83,18,73.99055555555555,1.0,73.99055555555555
EDUCATION ESSENTIALS-SUPPLIES-DEFAULT,1242.3799999999999,35,35.49657142857143,1.0,35.49657142857143
LEARNING ENVIRONMENTS-FURNITURE-CHARGES,947.004,2,473.502,1.0,473.502
CURRICULUM-EPS-READING_EPS,674.22,6,112.37,1.0,112.37
