group_a,group_b,p_adj
CURRICULUM-SS SCIENCE-FOSS/DELTA,CURRICULUM-SS SCIENCE-FOSS/DELTA,1.0
EDUCATION ESSENTIALS-CHARGES-CHARGES,CURRICULUM-SS SCIENCE-FOSS/DELTA,0.0
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,CURRICULUM-SS SCIENCE-FOSS/DELTA,0.05669699010987555
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,CURRICULUM-SS SCIENCE-FOSS/DELTA,1.0
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,CURRICULUM-SS SCIENCE-FOSS/DELTA,1.0
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,CURRICULUM-SS SCIENCE-FOSS/DELTA,1.0
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,CURRICULUM-SS SCIENCE-FOSS/DELTA,1.0
EDUCATION ESSENTIALS-SUPPLIES-PAPER,CURRICULUM-SS SCIENCE-FOSS/DELTA,0.00015424140335048686
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,CURRICULUM-SS SCIENCE-FOSS/DELTA,2.5866907906678742e-45
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,CURRICULUM-SS SCIENCE-FOSS/DELTA,2.474259572279321e-43
EDUCATION ESSENTIALS-SUPPLIES-WRITING,CURRICULUM-SS SCIENCE-FOSS/DELTA,0.06647514693268297
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,CURRICULUM-SS SCIENCE-FOSS/DELTA,3.0557700746436884e-180
CURRICULUM-SS SCIENCE-FOSS/DELTA,EDUCATION ESSENTIALS-CHARGES-CHARGES,0.0
EDUCATION ESSENTIALS-CHARGES-CHARGES,EDUCATION ESSENTIALS-CHARGES-CHARGES,1.0
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,EDUCATION ESSENTIALS-CHARGES-CHARGES,0.0
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,EDUCATION ESSENTIALS-CHARGES-CHARGES,0.0
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,EDUCATION ESSENTIALS-CHARGES-CHARGES,0.0
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,EDUCATION ESSENTIALS-CHARGES-CHARGES,0.0
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,EDUCATION ESSENTIALS-CHARGES-CHARGES,0.0
EDUCATION ESSENTIALS-SUPPLIES-PAPER,EDUCATION ESSENTIALS-CHARGES-CHARGES,0.0
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,EDUCATION ESSENTIALS-CHARGES-CHARGES,0.0
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,EDUCATION ESSENTIALS-CHARGES-CHARGES,0.0
EDUCATION ESSENTIALS-SUPPLIES-WRITING,EDUCATION ESSENTIALS-CHARGES-CHARGES,0.0
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,EDUCATION ESSENTIALS-CHARGES-CHARGES,0.0
CURRICULUM-SS SCIENCE-FOSS/DELTA,EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,0.05669699010987555
EDUCATION ESSENTIALS-CHARGES-CHARGES,EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,0.0
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,1.0
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,1.0
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,1.0
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,0.15430409369114553
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,1.0
EDUCATION ESSENTIALS-SUPPLIES-PAPER,EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,5.2502197049863197e-14
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,1.0933995828493215e-68
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,3.008817738403592e-66
EDUCATION ESSENTIALS-SUPPLIES-WRITING,EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,1.0
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,2.373722034854158e-224
CURRICULUM-SS SCIENCE-FOSS/DELTA,EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,1.0
EDUCATION ESSENTIALS-CHARGES-CHARGES,EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,0.0
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,1.0
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,1.0
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,1.0
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,1.0
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,1.0
EDUCATION ESSENTIALS-SUPPLIES-PAPER,EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,7.972400438016619e-07
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,1.150349630984223e-51
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,1.4994651234555313e-49
EDUCATION ESSENTIALS-SUPPLIES-WRITING,EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,1.0
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,1.1429406933935046e-192
CURRICULUM-SS SCIENCE-FOSS/DELTA,EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,1.0
EDUCATION ESSENTIALS-CHARGES-CHARGES,EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,0.0
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,1.0
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,1.0
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,1.0
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,1.0
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,1.0
EDUCATION ESSENTIALS-SUPPLIES-PAPER,EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,6.021015657123832e-09
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,4.747196297565797e-57
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,7.929268233546573e-55
EDUCATION ESSENTIALS-SUPPLIES-WRITING,EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,1.0
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,6.41917484425679e-203
CURRICULUM-SS SCIENCE-FOSS/DELTA,EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,1.0
EDUCATION ESSENTIALS-CHARGES-CHARGES,EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,0.0
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,0.15430409369114553
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,1.0
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,1.0
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,1.0
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,1.0
EDUCATION ESSENTIALS-SUPPLIES-PAPER,EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,3.567659705813558e-05
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,3.743549738572913e-47
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,3.924722513130742e-45
EDUCATION ESSENTIALS-SUPPLIES-WRITING,EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,0.17875024186981872
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,7.003956513502492e-184
CURRICULUM-SS SCIENCE-FOSS/DELTA,EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,1.0
EDUCATION ESSENTIALS-CHARGES-CHARGES,EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,0.0
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,1.0
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,1.0
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,1.0
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,1.0
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,1.0
EDUCATION ESSENTIALS-SUPPLIES-PAPER,EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,2.5387940736438043e-10
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,2.3589535780292387e-60
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,4.561663947508952e-58
EDUCATION ESSENTIALS-SUPPLIES-WRITING,EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,1.0
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,4.266058838952573e-209
CURRICULUM-SS SCIENCE-FOSS/DELTA,EDUCATION ESSENTIALS-SUPPLIES-PAPER,0.00015424140335048686
EDUCATION ESSENTIALS-CHARGES-CHARGES,EDUCATION ESSENTIALS-SUPPLIES-PAPER,0.0
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,EDUCATION ESSENTIALS-SUPPLIES-PAPER,5.2502197049863197e-14
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-PAPER,7.972400438016619e-07
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,EDUCATION ESSENTIALS-SUPPLIES-PAPER,6.021015657123832e-09
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,EDUCATION ESSENTIALS-SUPPLIES-PAPER,3.567659705813558e-05
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-PAPER,2.5387940736438043e-10
EDUCATION ESSENTIALS-SUPPLIES-PAPER,EDUCATION ESSENTIALS-SUPPLIES-PAPER,1.0
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,EDUCATION ESSENTIALS-SUPPLIES-PAPER,2.042644442466572e-20
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,EDUCATION ESSENTIALS-SUPPLIES-PAPER,4.393424331239134e-19
EDUCATION ESSENTIALS-SUPPLIES-WRITING,EDUCATION ESSENTIALS-SUPPLIES-PAPER,7.548219870836183e-14
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,EDUCATION ESSENTIALS-SUPPLIES-PAPER,5.321044081635353e-126
CURRICULUM-SS SCIENCE-FOSS/DELTA,EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,2.5866907906678742e-45
EDUCATION ESSENTIALS-CHARGES-CHARGES,EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,0.0
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,1.0933995828493215e-68
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,1.150349630984223e-51
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,4.747196297565797e-57
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,3.743549738572913e-47
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,2.3589535780292387e-60
EDUCATION ESSENTIALS-SUPPLIES-PAPER,EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,2.042644442466572e-20
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,1.0
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,1.0
EDUCATION ESSENTIALS-SUPPLIES-WRITING,EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,2.413858259453242e-68
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,6.626345212601392e-45
CURRICULUM-SS SCIENCE-FOSS/DELTA,EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,2.474259572279321e-43
EDUCATION ESSENTIALS-CHARGES-CHARGES,EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,0.0
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,3.008817738403592e-66
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,1.4994651234555313e-49
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,7.929268233546573e-55
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,3.924722513130742e-45
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,4.561663947508952e-58
EDUCATION ESSENTIALS-SUPPLIES-PAPER,EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,4.393424331239134e-19
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,1.0
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,1.0
EDUCATION ESSENTIALS-SUPPLIES-WRITING,EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,6.549282436313793e-66
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,6.393502248891848e-47
CURRICULUM-SS SCIENCE-FOSS/DELTA,EDUCATION ESSENTIALS-SUPPLIES-WRITING,0.06647514693268297
EDUCATION ESSENTIALS-CHARGES-CHARGES,EDUCATION ESSENTIALS-SUPPLIES-WRITING,0.0
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,EDUCATION ESSENTIALS-SUPPLIES-WRITING,1.0
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-WRITING,1.0
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,EDUCATION ESSENTIALS-SUPPLIES-WRITING,1.0
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,EDUCATION ESSENTIALS-SUPPLIES-WRITING,0.17875024186981872
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,EDUCATION ESSENTIALS-SUPPLIES-WRITING,1.0
EDUCATION ESSENTIALS-SUPPLIES-PAPER,EDUCATION ESSENTIALS-SUPPLIES-WRITING,7.548219870836183e-14
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,EDUCATION ESSENTIALS-SUPPLIES-WRITING,2.413858259453242e-68
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,EDUCATION ESSENTIALS-SUPPLIES-WRITING,6.549282436313793e-66
EDUCATION ESSENTIALS-SUPPLIES-WRITING,EDUCATION ESSENTIALS-SUPPLIES-WRITING,1.0
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,EDUCATION ESSENTIALS-SUPPLIES-WRITING,9.918588031018575e-224
CURRICULUM-SS SCIENCE-FOSS/DELTA,LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,3.0557700746436884e-180
EDUCATION ESSENTIALS-CHARGES-CHARGES,LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,0.0
EDUCATION ESSENTIALS-SUPPLIES-ADHESIVES,LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,2.373722034854158e-224
EDUCATION ESSENTIALS-SUPPLIES-ART SUPPLIES,LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,1.1429406933935046e-192
EDUCATION ESSENTIALS-SUPPLIES-CLASSROOM RESOURCES,LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,6.41917484425679e-203
EDUCATION ESSENTIALS-SUPPLIES-DOCUMENT STORAGE,LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,7.003956513502492e-184
EDUCATION ESSENTIALS-SUPPLIES-OFFICE/CLASSROOM SUPPLIES,LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,4.266058838952573e-209
EDUCATION ESSENTIALS-SUPPLIES-PAPER,LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,5.321044081635353e-126
EDUCATION ESSENTIALS-SUPPLIES-PHYSICAL EDUCATION,LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,6.626345212601392e-45
EDUCATION ESSENTIALS-SUPPLIES-SPECIAL NEEDS,LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,6.393502248891848e-47
EDUCATION ESSENTIALS-SUPPLIES-WRITING,LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,9.918588031018575e-224
LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,LEARNING ENVIRONMENTS-FURNITURE-STUDENT WORKSTATIONS,1.0
