feature,model,importance
return_frequency,Logistic Regression,3.0829483884973254
customer_return_rate,Logistic Regression,0.9422096302968858
avg_basket_size,Logistic Regression,0.4992743323089813
avg_order_value,Logistic Regression,1.7588270520959364
total_items,Logistic Regression,0.27246441023897366
total_margin,Logistic Regression,1.0801828995173606
avg_item_margin,Logistic Regression,2.237855454755342
return_frequency,Random Forest,0.21049201865731385
customer_return_rate,Random Forest,0.07654823275308494
avg_basket_size,Random Forest,0.05712033955860924
avg_order_value,Random Forest,0.23526571763090326
total_items,Random Forest,0.04103001195919523
total_margin,Random Forest,0.24635605320334417
avg_item_margin,Random Forest,0.13318762623754915
return_frequency,Gradient Boosting,0.1848833217523419
customer_return_rate,Gradient Boosting,0.06913778129146171
avg_basket_size,Gradient Boosting,0.017153672209276865
avg_order_value,Gradient Boosting,0.4694126474902398
total_items,Gradient Boosting,0.000995786535797033
total_margin,Gradient Boosting,0.1756569560463916
avg_item_margin,Gradient Boosting,0.08275983467449091
